Наименование товара;Цена;Фото;Ссылка
З`єднувач полиць ДСП;3,48 €;https://a-c.com.ua/img/shop/ws1445240365.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_dlya_polok_korzin/54-soediniteli_dlya_polok_dsp.html
Полиця-кошик;17,85 €;https://a-c.com.ua/img/shop/ws1444812544.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/provolochnye_polki_i_polki_korziny/53-polka_korzina.html
Сітчата полиця;10,97 €;https://a-c.com.ua/img/shop/ws1561379101.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/provolochnye_polki_i_polki_korziny/52-provolochnaya_polka.html
Бокова заглушка на кронштейн ;2,31 €;https://a-c.com.ua/img/shop/ws1444831858.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/aksessuary_k_kronshtejnam/51-bokovaya_zaglushka_na_kronshtejn.html
Кронштейн для полиці ДСП з пазом;4,48 €;https://a-c.com.ua/img/shop/ws1351035874.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/kronshtejn_dlya_provolochnoj_polki_i_polki_dsp/50-kronshtejn_dlya_polki_dsp_s_pazom.html
Кронштейн для полиці ДСП зміцненний;11,51 €;https://a-c.com.ua/img/shop/ws1353934381.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/kronshtejn_dlya_provolochnoj_polki_i_polki_dsp/49-kronshtejn_dlya_polki_dsp_usilennyj.html
Кронштейн для полиці ДСП з гаком;10,68 €;https://a-c.com.ua/img/shop/ws1445240626.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/kronshtejn_dlya_provolochnoj_polki_i_polki_dsp/48-kronshtejn_dlya_polki_dsp_s_kryuchkom.html
Кронштейн для полиці ДСП;2,68 €;https://a-c.com.ua/img/shop/ws1625391525.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/kronshtejn_dlya_provolochnoj_polki_i_polki_dsp/47-kronshtejn_dlya_polki_dsp.html
Кронштейн для сітчатої полиці;4,23 €;https://a-c.com.ua/img/shop/ws1625391636.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/kronshtejn_dlya_provolochnoj_polki_i_polki_dsp/46-kronshtejn_dlya_provolochnoj_polki.html
Настінна направляюча;4,23 €;https://a-c.com.ua/img/shop/ws1625402751.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/nastennaya_sistema/45-nastennaya_napravlyayuschaya.html
Навісна направляюча;9,34 €;https://a-c.com.ua/img/shop/ws1633360667.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/navesnaya_sistema/44-navesnaya_napravlyayuschaya.html
Верхній несучий рельс;12,52 €;https://a-c.com.ua/img/shop/ws1633362262.jpg;https://a-c.com.ua/ua/elfa_classic/https://a-c.com.ua/ua/elfa_classic/navesnaya_sistema/43-verhnij_nesuschij_rels.html
